Fundo de Capital de Risco ou entidade veiculo,NIF,Designacao da Empresa,CAE,Data do Investimento,Capital aplicado em PME
16132 - FCR PV Internacionalizacao,509817530,"Catari, SGPS, SA",64202,28-07-2011,1500
16133 - FCR Beta Ciencias ,508206383,"Stemmatters - Biotecnologia e Medicina Regenerativa,S.A.",72110,07-07-2011,244
16133 - FCR Beta Ciencias,508753902,"Matera, Lda",72110,28-06-2011,250
16133 - FCR Beta Ciencias,509756638,"Equigerminal, lda",72110,08-03-2012,113
16134 - FCR ASK Celta,500695679,"Torres & Belo, S.A",25620,13-01-2014,920
16134 - FCR ASK Celta,509229697,"ATP - ATLaNTICO TRADE PARTNERS - IMPORTAcaO E EXPORTAcaO DE PRODUTOS ALIMENTARES, LDA",46170,02-06-2011,600
16135 - FCR Capital Criativo,502448911,"ISA - Intelligent Sensing Anywhere, S.A.",71120,18-05-2011,2983
16135 - FCR Capital Criativo,506300072,"Go Biz, S.A.",72110,27-09-2012,650
16135 - FCR Capital Criativo,509034080,"Live Content, S.A.",63120,16-03-2011,650
16135 - FCR Capital Criativo,509928471,"USC Internacional, S.A.",52291,23-12-2011,1500
16135 - FCR Capital Criativo,510295185,"Cortex Intelligence Europa, Lda.",62020,29-06-2012,1500
16136 - FCR ES Ventures Inovacao & Internacionalizacao,507455509,"BW - Bridges Worlwide Holding, SGPS (BERD, S.A.)",64202,16-09-2011,1022
16136 - FCR ES Ventures Inovacao & Internacionalizacao,508771862,"Feedzai, Consultadoria e Inovacao Tecnologica, S.A",62010,05-05-2011,825
16137 - FCR ES Ventures Inovacao & Internacionalizacao,509061907,"Lusoeduc - Informacao e servicos, S.A.",62090,20-12-2012,900
16138 - FCR ES Ventures Inovacao & Internacionalizacao,510434126,SakProject Internacional,32994,27-02-2014,426
16139 - FCR ES Ventures Inovacao & Internacionalizacao,513037470,"Stock Beats, S.A.",62090,08-05-2014,1000
16140 - FCR ES Ventures Inovacao & Internacionalizacao,509667694,"Nutriventures Corporation, SA",77400,13-02-2013,1500
16141 - FCR ES Ventures Inovacao & Internacionalizacao,510575994,"Heart Genetics and Biotechnology, S.A",72190,01-04-2013,1100
16137 - FCR PV Industrias Criativas,508457467,"Science4You, SA",47784,06-11-2012,1065
16138 - FCR PV Industrias Criativas,509667694,"Nutriventures Corporation, SA",77400,01-01-2013,750
16139 - FCR PV Industrias Criativas,509820638,"Tuizzi, SA",63120,03-06-2013,163
16140 - FCR PV Industrias Criativas,509845061,"Imedical, SA",72190,18-10-2013,400
16141 - FCR PV Industrias Criativas,510730370,"Gleam, SA",62090,10-07-2013,300
16142 - FCR PV Industrias Criativas,510742971,"Global Inpakt, SA",63110,09-08-2013,135
16143 - FCR PV Industrias Criativas,510781322,"GetSocial, SA",62010,18-09-2013,150
16144 - FCR PV Industrias Criativas,510803598,"Gorgeousdetails, SA",47910,30-12-2013,605
16140 - FCR PV Early Stage ,509967400,Greenfibertech,16295,26-03-2013,625
16141 - FCR PV Early Stage,510177026,"Streambolico, SA",62010,16-09-2013,515
16142 - FCR PV Early Stage,510361803,"Whizztek, SA",63110,27-06-2014,250
16143 - FCR PV Early Stage,510993834,Liquid Data Intelligence SA,62.09,19-02-2014,240
16141 - FCR Minho Inovacao & Internacionalizacao,510077072,Formula da Avo ,72110,30-06-2014,50
16142 - FCR Minho Inovacao & Internacionalizacao,510571514,"Sphere Ultrafast Photonics (""SPH"")",26701,10-03-2014,121
16143 - FCR Minho Inovacao & Internacionalizacao,510753884,4EVERABILITY,62010,30-09-2014,60
16144 - FCR Minho Inovacao & Internacionalizacao,510788815,Vanguardchapter,29310,30-06-2014,127
16145 - FCR Minho Inovacao & Internacionalizacao,513002901,"Chromoperformance, Lda",72110,29-09-2014,216
16146 - FCR Minho Inovacao & Internacionalizacao,513061690,AUGRPublisher,58110,23-04-2014,105
16147 - FCR Minho Inovacao & Internacionalizacao,513249141,FANTASTIKPEOPLE,72110,30-09-2014,163
16142 - FCR Novabase Capital,508771862,"Feedzai, Consultadoria e Inovacao Tecnologica, S.A.",62010,05-05-2011,630
16143 - FCR Novabase Capital,508979366,Wizdee,62010,12-05-2014,120
16144 - FCR Novabase Capital,509766358,"PowerGrid, Lda",62010,08-11-2011,2450
16145 - FCR Novabase Capital,510302262,"Invincible Code, Lda. (DTV Research)",62010,29-06-2012,2500
16146 - FCR Novabase Capital,510343856,"Bright Innovation, Lda (exParallelGrowth, Lda)",82110,20-07-2012,1500
16147 - FCR Novabase Capital,510465878,Smartgeo,62020,22-01-2013,100
16148 - FCR Novabase Capital,513136444,CityPulse (Talento e Raciocinio),62010,06-06-2014,1500
16149 - FCR Novabase Capital,513231412,"Livian Technologies, Lda",62010,25-09-2014,1500
16146 - FCR Critical Ventures I,508339855,"Critical Materials, Lda",62020,21-11-2011,321
16147 - FCR Critical Ventures I,508805759,"Critical Health, SA",58290,01-07-2011,901
16148 - FCR Critical Ventures I,509961320,"Bluecaring, SA",58290,18-03-2014,110
16149 - FCR Critical Ventures I,510343350,"WFSW, S.A (WatchFull)",62020,24-09-2012,1000
16150 - FCR Critical Ventures I,510447147,"CBRA Genomics, S.A.",72110,01-07-2013,450
FCR PV Biocant ,507586557,Gene Predict,72110,27-09-2012,151
FCR PV Biocant ,509293077,"Treat U, S.A.",72110,26-07-2013,422
FCR PV Biocant ,510447147,"CBRA Genomics, S.A. ",72110,01-07-2013,320
FCR PV Biocant ,510642926,Perceive 3D ,72190,29-07-2013,264
16149 - FCR ASK Capital ,509655300,"Altaktin, S.A",72110,06-09-2011,496
16150 - FCR ASK Capital,509967400,Greenfibertech ,16295,26-03-2013,320
16152 - FCR PV Universitas ,509822070,"Babybook,S.A.",62010,13-01-2014,165
16153 - FCR PV Universitas,509984568,Youngstories,58290,03-06-2013,250
16154 - FCR PV Universitas,509987184,Aptoide,58290,31-05-2013,320
16155 - FCR PV Universitas,513002111,"Passworks, SA ",62090,28-02-2014,300
16154 - FCR PV ACTEC ,509594107,"Biomode, SA ",72110,28-12-2011,195
16155 - FCR PV ACTEC,509895948,Omniflow,72190,14-06-2012,385
16156 - FCR PV ACTEC,509923275,"Pharma 73, SA ",21100,30-12-2011,261
16157 - FCR PV ACTEC,510091083,"Abyssal, SA ",62090,19-01-2012,300
16158 - FCR PV ACTEC,510695833,"Lymphact, SA ",72110,03-06-2013,164
16159 - FCR PV ACTEC,510942571,Xhockware,62090,18-02-2014,245
16155 - FCR ISTART I ,509756638,"Equigerminal, lda ",72110,08-03-2012,220
16156 - FCR ISTART I,509992544,"Laserleap Tecnhologies, S.A. ",72190,31-07-2013,300
16157 - FCR ISTART I,510252362,"Ecofoot, S.A. ",20120,29-07-2013,158
16158 - FCR ISTART I,510434126,SakProject Internacional ,32994,27-02-2014,200
16159 - FCR ISTART I,510575994,"Heart Genetics and Biotechnology, S.A. ",72190,01-04-2013,293
16159 - FCR FAST Change II ,509221785,"EIDT - ENGENHARIA, INOVAcaO E DESENVOLVIMENTO TECNOLoGICO, SA",43221,06-03-2012,211
16160 - FCR FAST Change II,509687040,"CELL2B – Advanced Therapeutics, S.A. ",72110-R3,10-08-2012,360
16161 - FCR FAST Change II,509720765,"CONVERDE, S.A. ",20152,20-08-2012,1000
16162 - FCR FAST Change II,510177026,"Streambolico, SA ",62010,16-09-2013,295
16163 - FCR FAST Change II,510257127,5ENSESINFOOD,10860,27-06-2013,490
16164 - FCR FAST Change II,513002901,"Chromoperformance, Lda ",72110,29-09-2014,431
32822 - FCR Revitalizar Norte ,509280285,Nmusic S.A.,58290,04-11-2013,3000
32823 - FCR Revitalizar Centro,508771862,Feedzai - Consultadoria e Inovacao Tecnologica S.A.,62010,19-05-2014,1500
32823 - FCR Revitalizar Centro ,509687040,Cell2B − Advanced Therapeutics SA ,72110,01-12-2014,1272
"A2B, SGPS",509756638,Equigerminal Lda,72110,15-03-2012,220
Blue Early Investments Investments,509081517,"Waymedia, S.A.",63120,07-05-2012,50
BrainCapital,510675565,"Sword Health Lda (Stroke of Genius, Lda)",27900,12-03-2014,150
BrainInvest,510257127,"5ensesInFood, S.A.",10860,25-06-2013,70
Brains2Market,508993970,ZUVINOVA S. A.,58140,01-07-2011,75
Busy Angels,508991390,IClio,63110,28-07-2014,117
Busy Angels,508993970,ZUVINOVA,58140,01-07-2011,161
Busy Angels,509061907,"Lusoeduc - Informacao e Servicos, SA",62090,20-12-2012,183
Busy Angels,509984568,"Youngstories, Lda",58290,11-02-2013,70
Busy Angels,509992544,"Laserleap Technologies, S.A.",72190,30-07-2013,130
Busy Angels,510346812,"Faber Ventures, S.A.",62090,19-12-2013,61
Busy Angels,510434126,"SAK Project International, SA ",32994,19-11-2012,174
Busy Angels,510603556,"Fairway Medical Tourism Portugal, SA",63110,19-03-2013,90
Busy Angels,510695833,"Lymphact - Lymphocyte Activation Technologies, S.A.",72110,31-05-2013,66
Eggnest,510603556,"Fairway Medical Tourism Portugal, SA",63110,19-03-2013,90
"EV Tecsaude, SGPS, SA",510077072,"Formula da Avo, Lda",72110,24-01-2013,92
Go Big or Go Home,508080991,"EcoChoice, SA",82990,28-12-2010,400
IA - FCI - Ciencias da Vida,510257127,"5ensesInFood, S.A.",10860,25-06-2013,140
IA - FCI - TICE,509820638,Tuizzi Lda,63110,21-05-2013,168
"Iniciativa Nobre, Lda",508080991,"EcoChoice, SA",82990,28-12-2010,200
"Lisbon Angels SGPS, SA",509081517,"Waymedia, S.A.",63120,07-05-2012,50
PNV Capital,508993970,ZUVINOVA S. A.,58140,01-07-2011,120
PNV Capital,510060625,"WEBANKOR, Lda",62010,31-07-2013,100
PNV Capital,510346812,"Faber Ventures, S.A.",62090,19-12-2013,130
PNV Capital,510646778,Magnomics Lda,46900,26-05-2014,54
PNV Capital,510740480,Maps with Life,62010,14-08-2013,60
PNV Capital,510742971,"Global Inpakt, S.A",63110,14-08-2013,63
PNV Capital,510942571,Xhockware,62090,28-02-2014,51
RedStar,509667694,Nutri Ventures Corporations SA,59110,27-12-2010,494
Sequoia Saude e Tecnologia,508805759,"Critical Health,SA",58290,21-02-2011,225
"Shilling Capital Partners, Lda",509687040,"CELL2B - Advanced Therapeutics, S.A.",72110,10-08-2012,50
"Shilling Capital Partners, Lda",509955061,"Universityplaces, Servicos de Internet, Lda",63120,20-08-2012,150
"Shilling Capital Partners, Lda",509984568,"Youngstories, Lda",58290,11-02-2013,70
"Shilling Capital Partners, Lda",510346812,"Faber Ventures, S.A.",62090,19-12-2013,316
Smart Equity,510098371,Changing Experience,62090,05-08-2014,150
Smart Ventures Business Angels,509572200,"InovRetail, Lda",62020,18-10-2011,100
"TEX Risco, SGPS, SA",510252362,"Ecofoot - Ecological Coloration Solutions, Lda",20120,10-01-2013,500
"TIC Risco, SGPS, SA",510154212,Follow Inspiration,62010,18-08-2014,150
