Empresa Destinataria (ED),Entidade Veiculo (EV),Investimento Total na ED,Financiamento FINOVA
"EHVS, Lda","FuturCriterio, SGPS, S.A.","75,000.00","48,750.00"
"Origami Start, Lda","FuturCriterio, SGPS, S.A.","212,500.00","138,125.00"
"Gigaprime, Lda","FuturCriterio, SGPS, S.A.","500,000.00","325,000.00"
"Tecnivisa, Lda","FuturCriterio, SGPS, S.A.","750,000.00","487,500.00"
"Sala Branca, Lda","QA - Investimentos SGPS, S.A.","314,519.00","203,437.50"
"Onsun Energy Solutions, Lda","QA - Investimentos SGPS, S.A.","456,250.00","296,562.50"
"Enerbridge, S.A.","QA - Investimentos SGPS, S.A.","769,231.00","500,000.00"
Celebre Memorias Lda,Red Star S.A.,"26,149.00","16,996.85"
"Nozomi - Criminal investigation Solutions, Lda",Red Star S.A.,"57,142.86","37,142.86"
"Peak Gas, Lda","Viva Edge Power SGPS, S.A.","150,000.00","97,500.00"
"Vivapower - Consulting, Lda","Viva Edge Power SGPS, S.A.","600,000.00","390,000.00"
"Energy Money, Lda","Viva Edge Power SGPS, S.A.","750,000.00","487,500.00"
"Miramarocean, Lda","Ensaiolucro SGPS, Lda","250,000.00","160,000.00"
"CPX - Concept & Design, Lda","Ensaiolucro SGPS, Lda","522,600.00","330,000.00"
"Sublu Tour Portugal, Lda","Ensaiolucro SGPS, Lda","420,024.00","270,000.00"
"Visual MO Audiovisuais, Lda","Following Formula Investimentos Financeiros, Lda","755,000.00","483,200.00"
"Sakproject International, S.A.","Busy Angels SCR, S.A.","73,920.00","48,048.00"
"Iclio, S.A.","Busy Angels SCR, S.A.","116,667.00","75,833.55"
"Lymphact - Lymphocyte Activation Technologies, S.A.","Busy Angels SCR, S.A.","44,400.00","28,860.00"
"Lusoeduc - Informacao e Servicos, S.A.","Busy Angels SCR, S.A.","50,000.00","32,500.00"
"Enging - Make Solutions, Lda.","Busy Angels SCR, S.A.","70,000.00","45,500.00"
"Zuvi Nova, S.A.","Busy Angels SCR, S.A.","90,750.00","58,987.50"
"Ribapower - Negocios e Comercio de Telecomunicacoes e Energia, Lda.","Deltaper SGPS, S.A.","244,231.00","158,750.00"
"Brainwapps Studios, Lda","Deltaper SGPS, S.A.","300,000.00","195,000.00"
"Connect Energy - Negocios De Energia E Telecomunicacoes, Lda.","Deltaper SGPS, S.A.","375,000.00","243,750.00"
"Solar Money, Lda","Deltaper SGPS, S.A.","600,000.00","390,000.00"
"Powerpattern Software e Logistica, Lda.","Following Formula Investimentos Financeiros, Lda","621,875.00","398,000.00"
"UOY, Lda","Semeia Ventures, Lda","85,000.00","55,000.00"
"Green Plug, Lda","W.T.F. - SGPS, Lda","174,194.00","113,226.00"
Paradise Experience S.A.,"Excalibur Capital, Lda","750,000.00","475,000.00"
"FRANCISCO GODINHO RIBEIRO - Consultoria, Fiscalidade e Contabilidade, Unipessoal, Lda.","Tecninvestimentos, Lda","69,730.00","45,324.50"
"Walk2Sea, Lda","Tecninvestimentos, Lda","700,000.00","455,000.00"
"Aposta Esperada, Lda","Tecninvestimentos, Lda","735,000.00","477,750.00"
"Promised Slice, Lda","Springangels, Lda","150,000.00","97,500.00"
"Sweet Print, Lda","Springangels, Lda","200,000.00","130,000.00"
"Alchemydomain, Lda","Springangels, Lda","300,000.00","195,000.00"
"Aldeia do Futuro, Lda","Springangels, Lda","315,079.75","204,801.84"
"Imperivm Portvs Cale, S.A.","Sao Jorge Ventures, Lda","500,000.00","325,000.00"
"Zuvi Nova, S.A.","PNV Capital SGPS, S.A.","46,000.00","29,900.00"
"Ribarent, Lda","Berco de Ideias SGPS, S.A.","769,230.77","500,000.00"
Between Rainbow Management Lda,"No Trouble Gestao Empresarial, Lda.","300,000.00","195,000.00"
"Aldeia do Futuro, Lda","Keep on Doing Special, Lda","150,000.00","97,500.00"
"Rockaroma, Lda","Keep on Doing Special, Lda","200,000.00","130,000.00"
"CAC - Contemporary Art Collections , Lda.","No Trouble Gestao Empresarial, Lda.","350,000.00","227,500.00"
"Onsun Energy Solutions, Lda","Berco de Ideias SGPS, S.A.","769,230.77","299,553.90"
