Empresa Destinataria (ED),Fundo de Capital de Risco (FCR),Tipologia do FCR,Investimento Total na ED
"Biomode - Biomolecular Determination, S.A.",FCR Portugal Ventures ACTEC II,Pre-Seed,"300,000.04"
Live Content S.A.,FCR Capital Criativo I,Inovacao e Internacionalizacao,"650,002.00"
"Feedzai - Consultadoria E Inovacao Tecnologica, S.A.",FCR Espirito Santo Ventures Inovacao e Internacionalizacao,Inovacao e Internacionalizacao,"825,000.00"
"Isa - Intelligent Sensing Anywhere, S.A.",FCR Capital Criativo I,Inovacao e Internacionalizacao,"2,982,929.00"
"ATP- Atlantico Trade Partners - Importacao E Exportacao De Produtos Alimentares, Lda",FCR Ask Celta,Inovacao e Internacionalizacao,"600,000.00"
"Omniflow, S.A.",FCR Portugal Ventures ACTEC II,Pre-Seed,"825,500.02"
"Matera, Lda",FCR Beta Ciencias da Vida,Pre-Seed,"250,000.00"
Stemmatters - Biotecnologia E Medicina Regenerativa S.A.,FCR Beta Ciencias da Vida,Pre-Seed,"244,479.00"
"Retmarker, S.A.",FCR Critical Ventures I,Corporate Venture,"900,852.00"
"Altakitin, S.A.",FCR Ask Capital,Early Stage,"495,863.00"
"BW - Bridges Worldwide Holding, Sgps, S.A.",FCR Espirito Santo Ventures Inovacao e Internacionalizacao,Inovacao e Internacionalizacao,"1,021,977.00"
"Feedzai - Consultadoria E Inovacao Tecnologica, S.A.",FCR Novabase Capital Inovacao e Internacionalizacao,Inovacao e Internacionalizacao,"630,000.00"
"Powergrid, Lda",FCR Novabase Capital Inovacao e Internacionalizacao,Inovacao e Internacionalizacao,"2,450,000.00"
"Critical Materials, S.A.",FCR Critical Ventures I,Corporate Venture,"600,000.00"
"USC Internacional, S.A.",FCR Capital Criativo I,Inovacao e Internacionalizacao,"1,500,000.00"
Pharma73 S.A.,FCR Portugal Ventures ACTEC II,Pre-Seed,"285,000.00"
"Abyssal, S.A.",FCR Portugal Ventures ACTEC II,Pre-Seed,"300,000.15"
"EIDT - Engenharia, Inovacao E Desenvolvimento Tecnologico, S.A.",FCR Fast Change II,Early Stage,"350,000.00"
"Equigerminal, S.A.",FCR Beta Ciencias da Vida,Pre-Seed,"250,000.00"
Thelial Technologies S.A.,FCR Portugal Ventures ACTEC II,Pre-Seed,"179,401.00"
"Equigerminal, S.A.",FCR Istart I,Pre-Seed,"250,000.00"
"Cortex Intelligence Europa, Lda",FCR Capital Criativo I,Inovacao e Internacionalizacao,"1,500,000.00"
"DTV Research, Unipessoal Lda",FCR Novabase Capital Inovacao e Internacionalizacao,Inovacao e Internacionalizacao,"2,500,000.00"
"Bright Innovation, Lda",FCR Novabase Capital Inovacao e Internacionalizacao,Inovacao e Internacionalizacao,"1,500,000.00"
Panicongelados - Massas Congeladas S.A.,FCR PME / Novo Banco,Inovacao e Internacionalizacao,"1,499,991.88"
A.J.P.Motos S.A.,FCR Portugal Ventures Internacionalizacao,Inovacao e Internacionalizacao,"500,000.00"
"Cell2B - Advanced Therapeutics, S.A.",FCR Fast Change II,Early Stage,"414,545.45"
"Converde, S.A.",FCR Fast Change II,Early Stage,"1,000,000.00"
"Wfsw, S.A.",FCR Critical Ventures I,Corporate Venture,"1,000,000.00"
Gene Predit S.A.,FCR Portugal Ventures Biocant,Corporate Venture,"390,500.00"
"Go Biz, Viagens E Turismo, S.A.",FCR Capital Criativo I,Inovacao e Internacionalizacao,"650,000.00"
"Science4You, S.A.",FCR Portugal Ventures Industrias Criativas,Inovacao e Internacionalizacao,"1,280,001.26"
"Sakproject International, S.A.",FCR Istart I,Pre-Seed,"200,000.00"
"Muzzley - Desenvolvimento de Solucoes Digitais, S.A",FCR Istart I,Pre-Seed,"300,000.00"
"Lusoeduc - Informacao e Servicos, S.A.",FCR Espirito Santo Ventures Inovacao e Internacionalizacao,Inovacao e Internacionalizacao,"900,000.00"
"Smartgeo, Solutions, Lda",FCR Novabase Capital Inovacao e Internacionalizacao,Inovacao e Internacionalizacao,"100,000.00"
Nutri Ventures Corporation - Nvc S.A.,FCR Portugal Ventures Industrias Criativas,Inovacao e Internacionalizacao,"750,000.00"
Nutri Ventures Corporation - Nvc S.A.,FCR Espirito Santo Ventures Inovacao e Internacionalizacao,Inovacao e Internacionalizacao,"2,500,000.00"
"Greenfiber Tech, S.A.",FCR Ask Capital,Early Stage,"715,000.00"
"Greenfiber Tech, S.A.",FCR Portugal Ventures Early Stage,Early Stage,"715,000.00"
"Heartgenetics Genetics And Biotechnology, S.A.",FCR Istart I,Pre-Seed,"166,404.84"
"Heartgenetics Genetics And Biotechnology, S.A.",FCR Espirito Santo Ventures Inovacao e Internacionalizacao,Inovacao e Internacionalizacao,"1,450,000.00"
"Aptoide, S.A.",FCR Portugal Ventures Universitas,Early Stage,"700,000.00"
"Lymphact - Lymphocyte Activation Technologies, S.A.",FCR Portugal Ventures ACTEC II,Pre-Seed,"414,258.79"
"Tuizzi, S.A.",FCR Portugal Ventures Industrias Criativas,Inovacao e Internacionalizacao,"450,000.03"
"Youngstories, S.A.",FCR Portugal Ventures Universitas,Early Stage,"950,000.00"
"5Ensesinfood, S.A.",FCR Fast Change II,Early Stage,"700,000.00"
"Power Data, Lda.",FCR Novabase Capital Inovacao e Internacionalizacao,Early Stage,"250,000.00"
"Radical Innovation, Lda.",FCR Novabase Capital Inovacao e Internacionalizacao,Early Stage,"1,000,000.00"
"Epedal, SGPS S.A.",FCR Portugal Ventures Internacionalizacao,Inovacao e Internacionalizacao,"1,250,214.03"
"CBRA Genomics, S.A.",FCR Portugal Ventures Biocant,Corporate Venture,"594,999.91"
"Gleam, S.A.",FCR Portugal Ventures Industrias Criativas,Inovacao e Internacionalizacao,"599,994.00"
"CBRA Genomics, S.A.",FCR Critical Ventures I,Corporate Venture,"499,993.18"
"Functional Enviromics Technologies, S.A.",FCR Portugal Ventures Universitas,Early Stage,"410,000.00"
"Treat U, S.A.",FCR Portugal Ventures Biocant,Corporate Venture,"760,000.00"
"Ecofoot, S.A.",FCR Istart I,Pre-Seed,"159,592.00"
"Perceive3D, S.A.",FCR Portugal Ventures Biocant,Corporate Venture,"432,500.03"
"G3P Technologies - Investigacao, Desenvolvimento e Inovacao, S.A.",FCR Portugal Ventures ACTEC II,Pre-Seed,"363,000.00"
"GLOBAL INPAKT, S.A.",FCR Portugal Ventures Industrias Criativas,Inovacao e Internacionalizacao,"212,500.00"
"Laserleap Technologies,S.A.",FCR Istart I,Pre-Seed,"300,000.00"
"Epedal, SGPS S.A.",FCR PME / Novo Banco,Inovacao e Internacionalizacao,"1,250,215.10"
Streambolico S.A.,FCR Fast Change II,Early Stage,"294,667.16"
Streambolico S.A.,FCR Portugal Ventures Early Stage,Early Stage,"950,000.22"
"Getsocial, S.A.",FCR Portugal Ventures Industrias Criativas,Inovacao e Internacionalizacao,"315,000.00"
"M.N.Ramos Ferreira, Engenharia, S.A.",FCR PME / Novo Banco,Inovacao e Internacionalizacao,"2,500,000.00"
"Im3Dical, S.A.",FCR Portugal Ventures Industrias Criativas,Inovacao e Internacionalizacao,"749,999.96"
"Qamine Portugal, S.A.",FCR Istart I,Pre-Seed,"275,000.00"
"Jscrambler, S.A.",FCR Portugal Ventures Internacionalizacao,Inovacao e Internacionalizacao,"1,300,000.00"
"PETSYS Electronics - Medical Pet Detectors, S.A.",FCR Portugal Ventures Early Stage,Early Stage,"800,000.01"
"PETSYS Electronics - Medical Pet Detectors, S.A.",FCR Portugal Ventures Universitas,Early Stage,"114,999.99"
"Gorgeousdetails, S.A.",FCR Portugal Ventures Industrias Criativas,Inovacao e Internacionalizacao,"1,000,000.00"
"Wizdee-Sistemas De Gestao De Conhecimento, S.A.",FCR Portugal Ventures Internacionalizacao,Inovacao e Internacionalizacao,"1,250,000.02"
"Babybook, S.A.",FCR Portugal Ventures Universitas,Early Stage,"342,750.34"
"Torres & Belo, S.A. ",FCR Ask Celta,Inovacao e Internacionalizacao,"1,320,000.00"
"ICLIO, S.A.",FCR Portugal Ventures Turismo Inovacao,Inovacao e Internacionalizacao,"1,250,000.00"
