Empresa Destinataria (ED),Entidade Veiculo (EV),Investimento Total na ED,Financiamento FINOVA
Nutri Ventures Corporation - Nvc S.A.,"Red Star, SA","250,000.00","162,500.00"
"Vivapower-Sistemas, Lda","Viva Edge Power SGPS, SA","80,000.00","52,000.00"
"Cpx - Concept & Design, Lda","Ensaiolucro SGPS, Lda","340,000.00","200,000.00"
"Eco Choice ,S.A.","Go Big or Go Home, SA","400,000.00","260,000.00"
"Eco Choice ,S.A.","Iniciativa Nobre, Lda","200,000.00","130,000.00"
"Retmarker, S.A. (ex Critical Health, S.A.)","Sequoia Saúde e Tecnologia Investimentos SGPS, SA","225,000.00","146,250.00"
Freedomgrow - Sistemas De Informacao S.A.,"Indextalent, Lda","94,700.00","61,555.00"
"Xisocho, Lda","No Trouble Gestao Empresarial, Lda","200,000.00","130,000.00"
"Vivapower-Consulting, Lda","Viva Edge Power SGPS, SA","200,000.00","130,000.00"
ViewDo,"Red Star, SA","90,000.00","58,500.00"
"Kmtek - Materiais E Tecnologias Da Construcao, Lda","First Angels SGPS, SA","307,000.00","199,550.00"
"Lsi - Leather Shoes Innovation, Lda","Ensaiolucro SGPS, Lda","320,000.00","200,000.00"
"Fifty Paiva , Lda","No Trouble Gestao Empresarial, Lda","150,000.00","97,500.00"
"Zuvi Nova, S.A.","PNV Capital SGPS, SA","120,016.20","78,010.53"
"Zuvi Nova, S.A.","Brains2Market Participacoes SGPS, Lda","75,005.90","48,750.59"
"Pulmao Do Mundo - Eficiencia Energetica, Lda","First Angels SGPS, SA","326,250.00","212,062.50"
Intelimotion Lda - Em Liquidacao,"IA - FCI Habitat Sustentavel, SA","300,000.00","195,000.00"
Earboxwear S.A.,"IA - FCI Industrias Criativas, SA","265,000.00","172,250.00"
"Increase Time, S.A.","Indextalent, Lda","149,800.00","97,370.00"
Guimaraes & Carvalho Lda,"No Trouble Gestao Empresarial, Lda","150,000.00","97,500.00"
"Kmtek - Materiais E Tecnologias Da Construcao, Lda","First Angels SGPS, SA","120,000.00","78,000.00"
"Ampelus And Wine Sharing, Lda","Ensaiolucro SGPS, Lda","154,440.00","100,000.00"
Vintage Experiences S.A.,"Go Big or Go Home, SA","175,000.00","113,750.00"
"T4 Continuity, Lda","Tic Risco SGPS, SA","428,571.43","278,571.43"
"H.D. - Restauracao, Lda","QA - Investimentos SGPS, S.A ( Ex Sequoia - Retalho E Indústria Alimentar Investimentos, Sgps, S.A.)","178,000.00","115,700.00"
Nutri Ventures Corporation - Nvc S.A.,"Red Star, SA","243,750.00","158,437.50"
"T4 Continuity, Lda","Civil Risco SGPS, SA","428,571.43","278,571.43"
Designing User Experience S.A.,"A2B SGPS, SA","87,500.00","56,875.00"
