Empresa Destinataria (ED),FCR Revitalizar,Investimento Total na ED
"Compraca I - Supermercados de Proximidade, S.A.",Revitalizar Norte,"4,500,000.00"
"Ndrive, Navigation Systems S.A.",Revitalizar Norte,"4,500,000.00"
"Nmusic, S.A.",Revitalizar Norte,"4,500,000.00"
"J&J Teixeira, S.A.",Revitalizar Norte,"4,500,000.00"
"Arquiled - Projectos de Iluminacao, S.A.",Revitalizar Sul,"3,000,000.00"
"Adelino Duarte Mota, S.A.",Revitalizar Centro,"1,500,000.00"
"Aquapura Douro Valley Hotels Villas & Spa, S.A.",Revitalizar Norte,"4,500,000.00"
"Felmica Minerais Industriais, S.A.",Revitalizar Centro,"1,500,000.00"
"Mota II - Solucoes Ceramicas, S.A.",Revitalizar Centro,"1,500,000.00"
"Mota Pastas Ceramcias, S.A.",Revitalizar Centro,"1,500,000.00"
"Panicongelados - Massas Congeladas, S.A.",Revitalizar Centro,"4,500,000.00"
"Pietec Master, Lda",Revitalizar Centro,"3,000,000.00"
"DRT - Moldes e Plasticos, Lda",Revitalizar Centro,"230,000.00"
"DRT Rapid - Prototipos e Moldes, Lda.",Revitalizar Centro,"1,270,000.00"
"Summer Portugal Resorts, S.A.",Revitalizar Sul,"4,500,000.00"
"Feedzai - Consultadoria e Inovacao Tecnologica, S.A.",Revitalizar Centro,"3,000,000.00"
"Elastictek - Indústria de Plasticos, S.A.",Revitalizar Centro,"3,000,000.00"
"Ovargado - Soc Comercial e Industrial de Alimentos para Animais, S.A.",Revitalizar Centro,"500,000.00"
"MVMS, S.A.",Revitalizar Sul,"1,500,000.00"
"Maxividro - Transformadores e Dist. De Vidro, S.A.",Revitalizar Centro,"3,000,000.00"
"Vitrocsa Portugal - Caixilharias, S.A.",Revitalizar Centro,"3,000,000.00"
"Caixiave - Indústria de Caixilharia, S.A.",Revitalizar Norte,"3,000,000.00"
Campotec in - Conservacao e Transformacao de Hortofruticolas S.A.,Revitalizar Centro,"3,000,000.00"
"Adla - Aluminium Extrusion, S.A.",Revitalizar Norte,"3,000,000.00"
"Grow Energy Invest, S.A.",Revitalizar Norte,"3,000,000.00"
"Amal Module Yard, S.A.",Revitalizar Centro,"3,000,000.00"
