Fundo de Capital de Risco/Entidade Veiculo,NIF,Designacao da Empresa,CAE,Data do Investimento,Capital aplicado em PME a 12/14,FCR a 31 Dezembro de 2015,Investimento PME Investimento 280916,FCR Revitalizar,Linha de Business Angels a 12/15,Total,Tipologia do FCR
16132 - FCR PV Internacionalizacao,509817530,"Catari, SGPS, SA",64202,28-07-2011,1500000,,,,,"1,500,000.00",
16133 - FCR Beta Ciencias ,508206383,"Stemmatters - Biotecnologia e Medicina Regenerativa,S.A.",72110,07-07-2011,244000,,"244,479.00",,,"244,479.00",
16133 - FCR Beta Ciencias,508753902,"Matera, Lda",72110,28-06-2011,250000,"250,000.00","250,000.00",,,"250,000.00",
16133 - FCR Beta Ciencias,509756638,"Equigerminal, lda",72110,08-03-2012,113000,"250,000.00","250,000.00",,,"250,000.00",
16134 - FCR ASK Celta,500695679,"Torres & Belo, S.A",25620,13-01-2014,920000,"1,320,000.00","1,320,000.00",,,"1,320,000.00",
16134 - FCR ASK Celta,509229697,"ATP - ATLaNTICO TRADE PARTNERS - IMPORTAcaO E EXPORTAcaO DE PRODUTOS ALIMENTARES, LDA",46170,02-06-2011,600000,"600,000.00","600,000.00",,,"600,000.00",
16135 - FCR Capital Criativo,502448911,"ISA - Intelligent Sensing Anywhere, S.A.",71120,18-05-2011,2983000,"2,982,929.00","5,886,835.92",,,"5,886,835.92",
16135 - FCR Capital Criativo,506300072,"Go Biz, S.A.",72110,27-09-2012,650000,"650,000.00","2,650,000.00",,,"2,650,000.00",
16135 - FCR Capital Criativo,509034080,"Live Content, S.A.",63120,16-03-2011,650000,"650,002.00","650,002.00",,,"650,002.00",
16135 - FCR Capital Criativo,509928471,"USC Internacional, S.A.",52291,23-12-2011,1500000,"1,500,000.00","1,500,000.00",,,"1,500,000.00",
16135 - FCR Capital Criativo,510295185,"Cortex Intelligence Europa, Lda.",62020,29-06-2012,1500000,"1,500,000.00","3,000,000.00",,,"3,000,000.00",
16136 - FCR ES Ventures Inovacao & Internacionalizacao,507455509,"BW - Bridges Worlwide Holding, SGPS (BERD, S.A.)",64202,16-09-2011,1022000,"1,021,977.00","1,021,977.00",,,"1,021,977.00",
16136 - FCR ES Ventures Inovacao & Internacionalizacao,508771862,"Feedzai, Consultadoria e Inovacao Tecnologica, S.A",62010,05-05-2011,825000,"825,000.00","825,000.00",,,"825,000.00",
16137 - FCR ES Ventures Inovacao & Internacionalizacao,509061907,"Lusoeduc - Informacao e servicos, S.A.",62090,20-12-2012,900000,"900,000.00","900,000.00",,,"900,000.00",
16138 - FCR ES Ventures Inovacao & Internacionalizacao,510434126,SakProject Internacional,32994,27-02-2014,426000,"910,000.00","910,000.00",,,"910,000.00",
16139 - FCR ES Ventures Inovacao & Internacionalizacao,513037470,"Stock Beats, S.A.",62090,08-05-2014,1000000,"1,775,000.00","1,775,000.00",,,"1,775,000.00",
16140 - FCR ES Ventures Inovacao & Internacionalizacao,509667694,"Nutriventures Corporation, SA",77400,13-02-2013,1500000,"2,500,000.00","2,500,000.00",,,"2,500,000.00",
16141 - FCR ES Ventures Inovacao & Internacionalizacao,510575994,"Heart Genetics and Biotechnology, S.A",72190,01-04-2013,1100000,"1,450,000.00","1,450,000.00",,,"1,450,000.00",
16137 - FCR PV Industrias Criativas,508457467,"Science4You, SA",47784,06-11-2012,1065000,"1,280,001.26","1,280,001.26",,,"1,280,001.26",
16138 - FCR PV Industrias Criativas,509667694,"Nutriventures Corporation, SA",77400,01-01-2013,750000,"750,000.00","750,000.00",,,"750,000.00",
16139 - FCR PV Industrias Criativas,509820638,"Tuizzi, SA",63120,03-06-2013,163000,"450,000.03","450,000.03",,,"450,000.03",
16140 - FCR PV Industrias Criativas,509845061,"Imedical, SA",72190,18-10-2013,400000,"749,999.96","749,999.96",,,"749,999.96",
16141 - FCR PV Industrias Criativas,510730370,"Gleam, SA",62090,10-07-2013,300000,,"599,994.00",,,"599,994.00",
16142 - FCR PV Industrias Criativas,510742971,"Global Inpakt, SA",63110,09-08-2013,135000,,"212,500.00",,,"212,500.00",
16143 - FCR PV Industrias Criativas,510781322,"GetSocial, SA",62010,18-09-2013,150000,"315,000.00","315,000.00",,,"315,000.00",
16144 - FCR PV Industrias Criativas,510803598,"Gorgeousdetails, SA",47910,30-12-2013,605000,"1,000,000.00","1,000,000.00",,,"1,000,000.00",
16140 - FCR PV Early Stage ,509967400,Greenfibertech,16295,26-03-2013,625000,"715,000.00","715,000.00",,,"715,000.00",
16141 - FCR PV Early Stage,510177026,"Streambolico, SA",62010,16-09-2013,515000,"950,000.22","950,000.22",,,"950,000.22",
16142 - FCR PV Early Stage,510361803,"Whizztek, SA",63110,27-06-2014,250000,"500,000.00","500,000.00",,,"500,000.00",
16143 - FCR PV Early Stage,510993834,Liquid Data Intelligence SA,62.09,19-02-2014,240000,"608,000.00","608,000.00",,,"608,000.00",
16141 - FCR Minho Inovacao & Internacionalizacao,510077072,Formula da Avo ,72110,30-06-2014,50000,"92,000.00","92,000.00",,,"92,000.00",
16142 - FCR Minho Inovacao & Internacionalizacao,510571514,"Sphere Ultrafast Photonics (""SPH"")",26701,10-03-2014,121000,"850,000.00","850,000.00",,,"850,000.00",
16143 - FCR Minho Inovacao & Internacionalizacao,510753884,"4EVERABILITY (MOBIQUEUE, S.A.)",62010,30-09-2014,60000,"150,000.00","150,000.00",,,"150,000.00",
16144 - FCR Minho Inovacao & Internacionalizacao,510788815,Vanguardchapter (addvolt),29310,30-06-2014,127000,"335,000.00","335,000.00",,,"335,000.00",
16145 - FCR Minho Inovacao & Internacionalizacao,513002901,"Chromoperformance, Lda (biomode 2)",72110,29-09-2014,216000,"450,000.00","450,000.00",,,"450,000.00",
16146 - FCR Minho Inovacao & Internacionalizacao,513061690,AUGRPublisher,58110,23-04-2014,105000,"212,500.00","212,500.00",,,"212,500.00",
